         11962693 function calls (11724789 primitive calls) in 74.513 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 visitor.py:65(ExampleASTVisitor)
        1    0.000    0.000    0.000    0.000 warnings.py:14(warnpy3k)
    37952    0.339    0.000   37.120    0.001 wordlist.py:19(words)
    37952    1.210    0.000   14.954    0.000 wordlist.py:22(raw)
       16    0.000    0.000    0.000    0.000 {_coo.coo_todense}
       16    0.148    0.009    0.148    0.009 {_csc.csc_tocsr}
       16    0.007    0.000    0.007    0.000 {_csr.csr_matmat_pass1}
       16    0.007    0.000    0.007    0.000 {_csr.csr_matmat_pass2}
       16    0.000    0.000    0.000    0.000 {_csr.expandptr}
       32    0.000    0.000    0.000    0.000 {_struct.pack}
       48    0.000    0.000    0.000    0.000 {_struct.unpack}
      160    0.000    0.000    0.000    0.000 {abs}
       48    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x1E1CE5A8}
      128    0.408    0.003    0.408    0.003 {built-in method acquire}
    75904    1.710    0.000    1.710    0.000 {built-in method findall}
   113856    0.234    0.000    0.234    0.000 {built-in method group}
       64    0.000    0.000    0.000    0.000 {built-in method release}
151808/37952    1.024    0.000    3.521    0.000 {built-in method sub}
       32    0.001    0.000    0.001    0.000 {cPickle.dumps}
       16    0.002    0.000    0.002    0.000 {cPickle.load}
      240    0.006    0.000    0.006    0.000 {eval}
    41696    0.230    0.000    0.230    0.000 {getattr}
        2    0.000    0.000    0.000    0.000 {globals}
     4262    0.012    0.000    0.012    0.000 {hasattr}
        1    0.000    0.000    0.000    0.000 {imp.get_magic}
   115077    0.307    0.000    0.307    0.000 {isinstance}
      176    0.000    0.000    0.000    0.000 {iter}
  1815552    3.320    0.000    3.320    0.000 {len}
        1    0.000    0.000    0.000    0.000 {locals}
       48    0.000    0.000    0.000    0.000 {map}
       32    0.000    0.000    0.000    0.000 {math.sqrt}
       48    0.001    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
      418    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       16    0.003    0.000    0.003    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      288    0.486    0.002    0.486    0.002 {method 'close' of 'file' objects}
       48    0.003    0.000    0.003    0.000 {method 'close' of 'mmap.mmap' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      160    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
       32    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       32    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
       48    0.000    0.000    0.000    0.000 {method 'fileno' of 'file' objects}
       16    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       48    0.001    0.000    0.001    0.000 {method 'flush' of 'mmap.mmap' objects}
   800273    2.036    0.000    2.036    0.000 {method 'get' of 'dict' objects}
       64    0.000    0.000    0.000    0.000 {method 'has_key' of 'dict' objects}
       53    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
    37952    0.073    0.000    0.073    0.000 {method 'iteritems' of 'dict' objects}
    38000    0.085    0.000    0.085    0.000 {method 'join' of 'str' objects}
    38000    0.095    0.000    0.095    0.000 {method 'keys' of 'dict' objects}
